Sat Sep 10 19:02:09 2016    /media/simone/$imone/Backup Pc linux/Documenti/File da masterizzare/Me lo potevate dire Prim/nuovo_file cProfile.txt

         331669 function calls in 32.576 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 ME_LO_POTEVATE_DIRE_PRIM.py:69(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {id}
        1    0.000    0.000    0.000    0.000 ME_LO_POTEVATE_DIRE_PRIM.py:134(close)
        1    0.000    0.000   32.576   32.576 Tkinter.py:1126(mainloop)
        3    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 tkCommonDialog.py:31(_fixresult)
        2    0.000    0.000    0.000    0.000 Graph_AdjacencyList.py:27(__init__)
        1    0.000    0.000   32.576   32.576 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 Binary.py:11(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method quit}
        2    0.000    0.000    0.000    0.000 tkCommonDialog.py:28(_fixoptions)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1530(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1344(__str__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


