Struttura dati utilizzata: PQbinaryHeap   Tempo impiegato: 1.741 s 
 
Peso totale: 1452948.0
 
MST: 
 
(298, 409, 283.0)
(883, 774, 297.0)
(774, 406, 274.0)
(203, 206, 404.0)
(211, 559, 405.0)
(72, 545, 406.0)
(41, 384, 410.0)
(127, 428, 419.0)
(428, 897, 128.0)
(181, 233, 422.0)
(233, 81, 299.0)
(81, 519, 364.0)
(232, 814, 424.0)
(483, 548, 425.0)
(548, 185, 401.0)
(508, 505, 427.0)
(505, 524, 280.0)
(505, 68, 288.0)
(68, 3, 135.0)
(3, 71, 71.0)
(71, 535, 184.0)
(68, 526, 230.0)
(526, 911, 22.0)
(71, 537, 251.0)
(911, 557, 257.0)
(354, 957, 429.0)
(957, 985, 373.0)
(38, 49, 432.0)
(64, 480, 434.0)
(15, 191, 435.0)
(191, 322, 58.0)
(191, 775, 147.0)
(322, 276, 394.0)
(403, 208, 438.0)
(44, 420, 439.0)
(104, 306, 440.0)
(306, 264, 293.0)
(375, 402, 442.0)
(402, 577, 174.0)
(577, 226, 206.0)
(584, 982, 446.0)
(350, 367, 450.0)
(367, 261, 331.0)
(71, 425, 451.0)
(425, 65, 24.0)
(65, 45, 383.0)
(45, 245, 49.0)
(45, 240, 210.0)
(45, 427, 279.0)
(427, 237, 4.0)
(237, 563, 121.0)
(563, 823, 20.0)
(363, 212, 453.0)
(212, 796, 18.0)
(212, 135, 153.0)
(135, 681, 100.0)
(212, 48, 246.0)
(48, 75, 178.0)
(135, 13, 275.0)
(75, 571, 325.0)
(571, 658, 180.0)
(658, 852, 138.0)
(658, 255, 261.0)
(255, 613, 232.0)
(48, 78, 416.0)
(212, 283, 441.0)
(283, 685, 423.0)
(9, 69, 454.0)
(69, 169, 102.0)
(69, 329, 111.0)
(329, 918, 79.0)
(918, 1118, 176.0)
(329, 304, 220.0)
(304, 728, 108.0)
(728, 408, 163.0)
(408, 590, 3.0)
(408, 858, 418.0)
(557, 528, 455.0)
(264, 271, 456.0)
(39, 361, 458.0)
(361, 465, 112.0)
(375, 629, 459.0)
(502, 336, 462.0)
(641, 197, 463.0)
(197, 221, 87.0)
(197, 697, 198.0)
(697, 440, 56.0)
(697, 214, 98.0)
(440, 805, 157.0)
(221, 803, 326.0)
(197, 593, 334.0)
(815, 446, 464.0)
(557, 902, 466.0)
(139, 311, 470.0)
(133, 112, 472.0)
(22, 277, 474.0)
(44, 12, 476.0)
(12, 159, 353.0)
(12, 4, 433.0)
(61, 475, 479.0)
(475, 869, 150.0)
(237, 512, 480.0)
(197, 84, 482.0)
(445, 342, 485.0)
(380, 379, 487.0)
(379, 386, 214.0)
(725, 886, 493.0)
(304, 307, 494.0)
(433, 541, 497.0)
(144, 184, 499.0)
(42, 239, 500.0)
(239, 230, 489.0)
(676, 624, 504.0)
(624, 453, 503.0)
(453, 621, 29.0)
(453, 820, 119.0)
(453, 620, 156.0)
(620, 92, 319.0)
(820, 623, 409.0)
(53, 123, 508.0)
(123, 116, 15.0)
(116, 109, 57.0)
(123, 118, 229.0)
(109, 668, 268.0)
(116, 132, 289.0)
(123, 554, 412.0)
(567, 552, 509.0)
(552, 1060, 244.0)
(570, 388, 510.0)
(388, 412, 398.0)
(412, 411, 354.0)
(388, 787, 490.0)
(40, 86, 513.0)
(112, 175, 514.0)
(175, 119, 37.0)
(175, 196, 74.0)
(119, 178, 151.0)
(175, 389, 165.0)
(119, 171, 282.0)
(389, 204, 332.0)
(196, 161, 384.0)
(161, 400, 158.0)
(389, 219, 473.0)
(219, 801, 36.0)
(119, 107, 502.0)
(351, 949, 517.0)
(80, 585, 520.0)
(506, 450, 523.0)
(479, 1036, 526.0)
(1036, 810, 272.0)
(275, 864, 527.0)
(479, 482, 531.0)
(482, 56, 134.0)
(56, 372, 44.0)
(56, 478, 123.0)
(482, 63, 222.0)
(63, 484, 125.0)
(63, 281, 467.0)
(15, 199, 533.0)
(537, 352, 537.0)
(352, 840, 505.0)
(141, 11, 539.0)
(11, 145, 192.0)
(11, 148, 313.0)
(148, 149, 162.0)
(149, 146, 78.0)
(146, 76, 11.0)
(145, 138, 403.0)
(76, 573, 407.0)
(146, 737, 414.0)
(105, 424, 540.0)
(127, 216, 541.0)
(216, 793, 53.0)
(216, 500, 447.0)
(227, 339, 543.0)
(210, 218, 544.0)
(218, 695, 114.0)
(311, 310, 551.0)
(64, 474, 552.0)
(474, 1006, 534.0)
(247, 833, 556.0)
(833, 442, 553.0)
(729, 944, 557.0)
(944, 346, 122.0)
(346, 747, 322.0)
(367, 391, 558.0)
(391, 901, 249.0)
(901, 560, 547.0)
(560, 1064, 212.0)
(570, 755, 560.0)
(755, 589, 131.0)
(144, 734, 562.0)
(142, 238, 564.0)
(238, 305, 420.0)
(305, 899, 48.0)
(899, 1057, 554.0)
(184, 558, 567.0)
(146, 738, 569.0)
(274, 863, 570.0)
(351, 587, 572.0)
(587, 953, 73.0)
(587, 377, 468.0)
(377, 974, 507.0)
(377, 466, 530.0)
(466, 818, 315.0)
(818, 951, 304.0)
(466, 769, 417.0)
(127, 288, 574.0)
(466, 187, 575.0)
(187, 771, 413.0)
(450, 661, 582.0)
(661, 155, 146.0)
(155, 267, 584.0)
(302, 242, 585.0)
(242, 451, 277.0)
(104, 646, 586.0)
(354, 289, 590.0)
(328, 124, 591.0)
(124, 692, 103.0)
(357, 706, 592.0)
(104, 649, 594.0)
(68, 521, 595.0)
(548, 830, 597.0)
(830, 531, 267.0)
(1, 31, 598.0)
(64, 510, 600.0)
(268, 79, 603.0)
(18, 231, 605.0)
(231, 26, 337.0)
(26, 17, 69.0)
(26, 85, 445.0)
(307, 295, 606.0)
(151, 741, 609.0)
(143, 732, 611.0)
(41, 382, 612.0)
(779, 598, 614.0)
(598, 220, 82.0)
(340, 891, 616.0)
(553, 100, 618.0)
(199, 644, 622.0)
(12, 27, 623.0)
(27, 7, 264.0)
(276, 866, 629.0)
(104, 200, 630.0)
(200, 29, 237.0)
(200, 473, 610.0)
(473, 201, 579.0)
(201, 320, 338.0)
(201, 257, 362.0)
(573, 91, 631.0)
(91, 616, 316.0)
(22, 282, 634.0)
(22, 263, 638.0)
(151, 74, 640.0)
(74, 147, 64.0)
(584, 662, 641.0)
(662, 705, 124.0)
(50, 365, 642.0)
(451, 454, 644.0)
(640, 645, 645.0)
(728, 724, 651.0)
(724, 591, 449.0)
(289, 837, 652.0)
(457, 1014, 656.0)
(69, 33, 659.0)
(801, 1105, 664.0)
(92, 117, 667.0)
(53, 462, 669.0)
(289, 494, 674.0)
(494, 366, 550.0)
(366, 47, 291.0)
(494, 294, 568.0)
(366, 674, 666.0)
(674, 223, 252.0)
(674, 194, 643.0)
(194, 670, 234.0)
(194, 777, 352.0)
(194, 254, 655.0)
(254, 835, 437.0)
(835, 1108, 70.0)
(835, 1109, 88.0)
(835, 1110, 367.0)
(377, 749, 677.0)
(457, 1000, 678.0)
(253, 345, 681.0)
(75, 14, 683.0)
(14, 167, 444.0)
(467, 931, 684.0)
(68, 523, 686.0)
(340, 415, 687.0)
(457, 602, 690.0)
(433, 539, 691.0)
(480, 1037, 693.0)
(724, 797, 698.0)
(38, 244, 699.0)
(73, 504, 703.0)
(769, 768, 704.0)
(624, 463, 706.0)
(463, 236, 495.0)
(292, 782, 708.0)
(527, 821, 709.0)
(821, 764, 139.0)
(764, 520, 357.0)
(764, 794, 511.0)
(794, 1065, 34.0)
(1065, 1104, 587.0)
(388, 723, 711.0)
(17, 25, 714.0)
(30, 258, 716.0)
(258, 131, 712.0)
(75, 182, 717.0)
(182, 186, 477.0)
(420, 396, 721.0)
(706, 1009, 726.0)
(613, 610, 733.0)
(336, 926, 734.0)
(205, 694, 735.0)
(833, 808, 737.0)
(41, 390, 738.0)
(931, 431, 744.0)
(431, 1004, 227.0)
(1004, 792, 42.0)
(1004, 909, 245.0)
(909, 1066, 632.0)
(1066, 1003, 141.0)
(1003, 1068, 329.0)
(1003, 906, 469.0)
(906, 910, 360.0)
(1068, 1069, 601.0)
(586, 1071, 745.0)
(593, 599, 749.0)
(75, 565, 752.0)
(355, 743, 753.0)
(743, 744, 426.0)
(428, 249, 754.0)
(185, 710, 755.0)
(182, 765, 757.0)
(346, 945, 761.0)
(584, 690, 765.0)
(690, 434, 75.0)
(343, 938, 766.0)
(239, 443, 769.0)
(127, 324, 771.0)
(440, 881, 772.0)
(26, 21, 774.0)
(577, 1067, 780.0)
(1067, 1018, 713.0)
(724, 594, 781.0)
(463, 773, 784.0)
(808, 229, 791.0)
(1066, 1077, 792.0)
(820, 733, 793.0)
(48, 436, 795.0)
(436, 129, 39.0)
(557, 542, 797.0)
(542, 1033, 324.0)
(182, 601, 802.0)
(136, 93, 807.0)
(93, 631, 529.0)
(631, 94, 408.0)
(151, 722, 808.0)
(613, 853, 813.0)
(949, 529, 819.0)
(218, 691, 820.0)
(459, 1026, 824.0)
(602, 89, 826.0)
(89, 607, 6.0)
(89, 429, 571.0)
(458, 1017, 831.0)
(563, 995, 836.0)
(995, 956, 9.0)
(377, 269, 837.0)
(269, 857, 625.0)
(18, 235, 840.0)
(197, 583, 843.0)
(350, 162, 844.0)
(389, 785, 846.0)
(258, 665, 849.0)
(470, 847, 852.0)
(847, 485, 26.0)
(485, 994, 491.0)
(994, 1025, 50.0)
(383, 890, 853.0)
(338, 928, 854.0)
(75, 569, 855.0)
(351, 950, 862.0)
(764, 1052, 865.0)
(707, 597, 869.0)
(597, 99, 536.0)
(597, 740, 561.0)
(597, 653, 798.0)
(13, 174, 870.0)
(302, 381, 871.0)
(175, 760, 872.0)
(760, 929, 492.0)
(32, 168, 875.0)
(24, 300, 880.0)
(22, 265, 883.0)
(13, 164, 884.0)
(164, 120, 522.0)
(120, 77, 242.0)
(81, 404, 889.0)
(61, 66, 898.0)
(66, 518, 72.0)
(66, 515, 84.0)
(66, 490, 578.0)
(381, 976, 901.0)
(888, 935, 904.0)
(584, 154, 907.0)
(154, 374, 443.0)
(585, 882, 909.0)
(747, 152, 914.0)
(563, 867, 915.0)
(353, 954, 919.0)
(162, 632, 920.0)
(134, 711, 923.0)
(755, 397, 924.0)
(390, 834, 925.0)
(339, 933, 934.0)
(458, 449, 938.0)
(744, 939, 940.0)
(203, 327, 944.0)
(749, 157, 945.0)
(157, 660, 391.0)
(660, 751, 868.0)
(751, 394, 309.0)
(394, 983, 658.0)
(157, 750, 911.0)
(185, 637, 948.0)
(305, 251, 949.0)
(545, 522, 953.0)
(71, 52, 955.0)
(484, 507, 958.0)
(507, 754, 877.0)
(754, 259, 25.0)
(259, 845, 577.0)
(209, 273, 963.0)
(273, 862, 542.0)
(995, 476, 964.0)
(559, 1063, 965.0)
(198, 686, 966.0)
(686, 702, 725.0)
(583, 170, 967.0)
(320, 316, 971.0)
(93, 605, 973.0)
(336, 432, 981.0)
(381, 592, 982.0)
(463, 88, 983.0)
(119, 568, 984.0)
(553, 1061, 992.0)
(60, 499, 997.0)
(499, 284, 312.0)
(499, 426, 428.0)
(426, 999, 59.0)
(306, 900, 998.0)
(30, 335, 1013.0)
(335, 468, 203.0)
(335, 321, 415.0)
(218, 789, 1020.0)
(616, 1084, 1021.0)
(459, 486, 1026.0)
(354, 955, 1039.0)
(28, 314, 1043.0)
(565, 566, 1044.0)
(566, 189, 33.0)
(315, 913, 1045.0)
(135, 717, 1047.0)
(621, 1012, 1057.0)
(331, 894, 1060.0)
(894, 975, 388.0)
(975, 772, 471.0)
(366, 878, 1061.0)
(53, 461, 1062.0)
(461, 1027, 265.0)
(465, 1029, 1063.0)
(211, 471, 1064.0)
(338, 932, 1067.0)
(239, 825, 1069.0)
(14, 183, 1076.0)
(392, 893, 1083.0)
(511, 832, 1084.0)
(832, 378, 596.0)
(340, 907, 1085.0)
(119, 173, 1087.0)
(583, 176, 1092.0)
(500, 817, 1103.0)
(104, 334, 1106.0)
(457, 839, 1107.0)
(839, 699, 321.0)
(81, 179, 1110.0)
(116, 160, 1124.0)
(217, 639, 1128.0)
(213, 687, 1130.0)
(20, 54, 1134.0)
(54, 323, 783.0)
(375, 609, 1136.0)
(321, 914, 1139.0)
(16, 222, 1142.0)
(222, 677, 120.0)
(1001, 921, 1148.0)
(148, 720, 1154.0)
(164, 562, 1155.0)
(411, 742, 1158.0)
(322, 696, 1160.0)
(249, 701, 1162.0)
(923, 333, 1169.0)
(333, 611, 515.0)
(611, 1079, 219.0)
(333, 809, 516.0)
(333, 922, 633.0)
(922, 1022, 363.0)
(611, 1081, 790.0)
(1079, 967, 1126.0)
(967, 1083, 90.0)
(338, 930, 1171.0)
(396, 456, 1172.0)
(957, 387, 1175.0)
(338, 564, 1183.0)
(71, 58, 1205.0)
(58, 497, 701.0)
(141, 312, 1214.0)
(139, 348, 1215.0)
(78, 576, 1217.0)
(601, 464, 1223.0)
(483, 452, 1224.0)
(453, 703, 1225.0)
(134, 714, 1245.0)
(548, 550, 1248.0)
(1, 36, 1259.0)
(751, 656, 1263.0)
(355, 960, 1264.0)
(975, 727, 1266.0)
(186, 588, 1268.0)
(597, 622, 1272.0)
(622, 188, 298.0)
(188, 98, 430.0)
(406, 405, 1276.0)
(754, 417, 1279.0)
(417, 993, 61.0)
(1061, 827, 1280.0)
(367, 952, 1292.0)
(952, 770, 129.0)
(645, 407, 1310.0)
(33, 341, 1311.0)
(417, 241, 1319.0)
(311, 903, 1324.0)
(333, 924, 1342.0)
(620, 603, 1345.0)
(572, 709, 1349.0)
(24, 125, 1350.0)
(899, 898, 1353.0)
(40, 46, 1354.0)
(586, 1030, 1362.0)
(470, 807, 1375.0)
(390, 978, 1378.0)
(357, 547, 1386.0)
(48, 435, 1387.0)
(435, 360, 317.0)
(705, 846, 1389.0)
(846, 1038, 1054.0)
(1038, 1034, 763.0)
(92, 626, 1391.0)
(366, 671, 1397.0)
(451, 651, 1399.0)
(756, 581, 1401.0)
(605, 871, 1405.0)
(139, 718, 1408.0)
(399, 580, 1409.0)
(204, 791, 1411.0)
(151, 736, 1414.0)
(44, 422, 1415.0)
(476, 1019, 1420.0)
(482, 606, 1422.0)
(606, 496, 345.0)
(238, 812, 1425.0)
(725, 885, 1431.0)
(242, 828, 1441.0)
(366, 766, 1442.0)
(23, 293, 1451.0)
(232, 813, 1461.0)
(813, 824, 528.0)
(852, 652, 1469.0)
(383, 795, 1476.0)
(64, 513, 1485.0)
(513, 1051, 1255.0)
(115, 678, 1486.0)
(152, 745, 1497.0)
(143, 555, 1498.0)
(488, 688, 1503.0)
(725, 887, 1505.0)
(286, 114, 1509.0)
(276, 693, 1525.0)
(693, 1093, 801.0)
(453, 228, 1533.0)
(445, 290, 1541.0)
(262, 287, 1548.0)
(553, 421, 1550.0)
(453, 1013, 1558.0)
(312, 349, 1564.0)
(502, 370, 1568.0)
(597, 596, 1583.0)
(387, 82, 1584.0)
(128, 642, 1587.0)
(869, 1113, 1590.0)
(139, 719, 1604.0)
(338, 101, 1606.0)
(1077, 1078, 1608.0)
(210, 780, 1614.0)
(705, 1042, 1620.0)
(29, 325, 1630.0)
(325, 680, 1539.0)
(503, 919, 1651.0)
(71, 534, 1656.0)
(129, 698, 1670.0)
(698, 1094, 565.0)
(902, 309, 1681.0)
(1004, 859, 1689.0)
(329, 880, 1698.0)
(114, 224, 1699.0)
(871, 633, 1702.0)
(29, 318, 1704.0)
(484, 604, 1713.0)
(135, 575, 1715.0)
(50, 448, 1726.0)
